year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2019,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; dropped after source audit: traceable but not a defensible final R&D appropriation
2019,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,INM (Instituto Nacional de Metrología),science_agency,31025897915.0,unit,COP,section_total,pdf_d0ec99f3fab8__2020_Decreto_2411_Anexo.txt,-1.0,,,INSTITUTO NACIONAL DE METROLOGIA - INM,covered_by_final_series,,,
2020,Instituto Nacional de Salud (Colombia),science_agency,63162530669.0,unit,COP,section_total,pdf_d0ec99f3fab8__2020_Decreto_2411_Anexo.txt,-1.0,,,INSTITUTO NACIONAL DE SALUD (INS),covered_by_final_series,,,
2020,"MinCiencias (Ministerio de Ciencia, Tecnología e Innovación)",science_agency,392362614395.0,unit,COP,section_total,pdf_d0ec99f3fab8__2020_Decreto_2411_Anexo.txt,-1.0,,,"MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION",covered_by_final_series,,,Replaced COLCIENCIAS from 2019. Created by Ley 1951 de 2019.
2020,SENA — R&D and Innovation (Servicio Nacional de Aprendizaje),innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; dropped after source audit: traceable but not a defensible final R&D appropriation
2020,iNNpulsa Colombia,innovation_instruments,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,AGROSAVIA / CORPOICA (agricultural research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,Fondo Francisco José de Caldas,science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,ICA (Instituto Colombiano Agropecuario),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,"IDEAM (Instituto de Hidrología, Meteorología y Estudios Ambientales)",science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
