year,canonical_name,category,amount_local,unit,currency,item_type,source_file,page_number,pdf_path,full_text_cache,line_description_en,traceability_status,trace_method,trace_excerpt,series_notes
2017,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,
2017,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,
2017,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,6753000922000.0,colon,CRC,verified_override,pdf_b6df2745474e__2017_Tomo3_Ley_de_presupuesto.txt,40,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2017,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2017,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,"Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; sum of sede regional limon transfer 15,500,000 on tomo 1 page 361 and convenio CITA-MAG transfer 31,000,000 on tomo 3 page 57"
2018,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2018,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2019,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,30550000000.0,colon,CRC,verified_override,pdf_65d032f4c4ef__2020_Ley_de_presupuesto.txt,368,,,Verified against original Costa Rica budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2020,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2020,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,
2020,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,manual override from original Costa Rica budget file
2020,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2020,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; sede regional limon transfer on page 369
2021,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,30600000000.0,colon,CRC,verified_override,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,435,,,Verified against original Costa Rica budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2021,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,1839934582000.0,colon,CRC,verified_override,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,1432,,,Verified against original Costa Rica budget file,verified_against_original_file,,,Main competitive research funding body in Costa Rica.; manual override from original Costa Rica budget file
2021,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,4629768709000.0,colon,CRC,verified_override,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,415,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2021,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,5205572746000.0,colon,CRC,verified_override,pdf_ac902c30ecd9__2021_Ley_de_presupuesto.txt,1416,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2021,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2021,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,"Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; sum of sede regional limon transfer 16,200,000 on page 434 and convenio CITA-MAG transfer 32,400,000 on page 1431"
2022,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2022,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2023,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2023,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.
2023,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2023,INCIENSA (health and nutrition research),science_agency,,,,,,,,,,covered_by_final_series,,,
2023,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,
2023,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2023,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2023,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2023,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2024,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,27090000000.0,colon,CRC,verified_override,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,434,,,Verified against original Costa Rica budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2024,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.
2024,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2024,INCIENSA (health and nutrition research),science_agency,7405300000000.0,colon,CRC,verified_override,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,1061,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2024,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,
2024,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,
2024,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,8789530987000.0,colon,CRC,verified_override,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,1564,,,Verified against original Costa Rica budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2024,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,1571508437000.0,colon,CRC,verified_override,pdf_70b402f40a19__2024_Ley_de_presupuesto.txt,1423,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2024,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,"Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; sum of sede regional limon transfer 16,200,000 on page 432 and convenio CITA-MAG transfer 32,400,000 on page 1578"
2025,CATIE (Centro Agronómico Tropical de Investigación y Enseñanza),science_agency,30100000000.0,colon,CRC,verified_override,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,471,,,Verified against original Costa Rica budget file,verified_against_original_file,,,gap: no matching rows in this year; manual override from original Costa Rica budget file
2025,CONICIT (Consejo Nacional para Investigaciones Científicas y Tecnológicas),science_agency,,,,,,,,,,covered_by_final_series,,,Main competitive research funding body in Costa Rica.
2025,FEES (Fondo Especial de Educación Superior),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2025,INCIENSA (health and nutrition research),science_agency,6440000000000.0,colon,CRC,verified_override,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,884,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2025,INTA (Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria),science_agency,,,,,,,,,,covered_by_final_series,,,
2025,ITCR / TEC (Instituto Tecnológico de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,gap: no matching rows in this year
2025,"MICITT (Ministerio de Ciencia, Innovación, Tecnología y Telecomunicaciones)",rd_ministry,7890373607000.0,colon,CRC,verified_override,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,1416,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2025,Promotora Costarricense de Innovación e Investigación (PCII),science_agency,1571508437000.0,colon,CRC,verified_override,pdf_ef12aca9f998__2025_Ley_de_presupuesto.txt,1426,,,Verified against original Costa Rica budget file,verified_against_original_file,,,manual override from original Costa Rica budget file
2025,UCR (Universidad de Costa Rica),higher_education,,,,,,,,,,covered_by_final_series,,,"Receives bulk FEES transfer; include only explicit research/Vínculo Externo sub-lines.; manual override from original Costa Rica budget file; sum of RSN transfer 900,000,000 on page 61, sede regional limon transfer 16,200,000 on page 459, and convenio CITA-MAG transfer 32,400,000 on page 1425"
